"df_names","df_long","df_lat"
"สถานีบริการ NGV ปตท. ฟินมอร์","100.99985","13.19128"
"PTT","100.9357118","13.2756357"
"Bangchak FUEL STATION","100.9353457","13.2720168"
"PTT gas station","100.991726","12.9455082"
"ลานจอดรถoa","100.8905974","12.9429359"
"ปั๊มน้ำมัน PT สาขาบางละมุง 5 (PT petrol station)","100.9036249","12.8703844"
"NGV","101.0084567","13.3945658"
"LPG Gas Station","100.9128225","13.5714788"
"Gas station","100.7901857","13.6600415"
"PTT Petrol Station","101.0064423","13.5416313"
"PTT Gas Station","100.9222947","13.1585491"
"PTT Service Station","101.0208211","13.3922915"
"Bangchak Gas Station+LPG ปั๊มน้ำมันบางจาก+LPG","100.9911755","13.2787217"
"สน.ปตท. แหลมฉบังขาออก","100.9861239","13.1347565"
"Shell Gas Station","101.075522","13.658654"
"PT Gas Station","100.9976907","13.5654775"
"Service stations","100.9783251","13.3327213"
"NGV Station","101.0030802","13.2263452"
"Caltex Gas Station","100.9856408","13.1255146"
"PTT NGV Service Station","100.9955492","13.0115038"
"PTT ปตท.นาเกลือ (บริษัท แลนด์ แอร์ แอนด์ วอเตอร์ อิมพอร์ต-เอ็กพอร์ท จำกัด)","100.8990665","12.9670282"
"Thai Oil Gas Station","100.9359938","13.1932524"
"PTT Service Station","100.9192944","12.9829491"
"Bangchak Gas Station","100.899405","12.949894"
"Gas station","101.0592762","13.4973611"
"ปั๊ม ปตท.อ่างศิลา-พระยาสัจจา","100.939387","13.327305"
"PT Gas Station","100.9002792","12.9265507"
"Shell","100.890057","12.937292"
"PTT","100.8885894","12.9090555"
"PTT","100.8969193","12.9066133"
"PTT NGV Service Station","100.9955492","13.0115038"
"PTT ปตท.นาเกลือ (บริษัท แลนด์ แอร์ แอนด์ วอเตอร์ อิมพอร์ต-เอ็กพอร์ท จำกัด)","100.8990665","12.9670282"
"PTT Service Station","100.9192944","12.9829491"
"Bangchak Gas Station","100.899405","12.949894"
"สถานีบริการน้ำมัน SHELL","100.8838619","12.9230749"
"Shell","100.9094188","12.9603416"
"PTT","100.9458313","12.9432204"
"Caltex Gas Station","100.9856408","13.1255146"
"Bangchak Gas Station","100.897279","12.887797"
"Caltex (Star Holding Company Limited)","100.8961511","12.9042876"
"สถานีบริการ NGV ปตท. ฟินมอร์","100.99985","13.19128"
"Gas station","100.9767925","12.6890574"
"PTT gas station","100.991726","12.9455082"
"ลานจอดรถoa","100.8905974","12.9429359"
"Bangchak Gas Station - Central Pattaya","100.9007249","12.9334441"
"สน. ปตท. บจ.ปพิชญา ปิโตเลียม","101.2013819","12.6880906"
"PT Gas Station","100.9002792","12.9265507"
"Shell","100.890057","12.937292"
"PTT","100.8885894","12.9090555"
"PTT","100.8969193","12.9066133"
"Bangchak Gas Station","100.899405","12.949894"
"THAI GAS LPG","100.9078772","12.8603606"
"สถานีบริการน้ำมัน SHELL","100.8838619","12.9230749"
"Shell","100.9094188","12.9603416"
"Bangchak Gas Station","100.897279","12.887797"
"Gas station","100.9767925","12.6890574"
"PTT gas station","100.991726","12.9455082"
"ลานจอดรถoa","100.8905974","12.9429359"
